expected_hazard_id,n,correct,accuracy
hazards:Hazard_Armed_Conflict,1,1,1.0
hazards:Hazard_Ash_Fall,1,0,0.0
hazards:Hazard_Ash_Resuspension_Event,1,0,0.0
hazards:Hazard_Chelyabinsk_Meteor,1,0,0.0
hazards:Hazard_ChemicalRelease,1,0,0.0
hazards:Hazard_Civil_Unrest,1,0,0.0
hazards:Hazard_Cloud_Service_Outage_Systemic_Cloud_Dependency_Failure,1,0,0.0
hazards:Hazard_Critical_Infrastructure_Failure,1,0,0.0
hazards:Hazard_Earthquake,1,1,1.0
hazards:Hazard_Extra_Tropical_Storm,1,0,0.0
hazards:Hazard_Extraterrestrial_Threat_Asteroid_Impact_Space_Weather,1,1,1.0
hazards:Hazard_Extreme_Weather,1,0,0.0
hazards:Hazard_Flood,1,1,1.0
hazards:Hazard_GNSS_Disruption_Jamming_Spoofing_Outage,1,1,1.0
hazards:Hazard_Light_Pollution,1,0,0.0
hazards:Hazard_Nocturnal_Tornado,1,0,0.0
hazards:Hazard_Pacific_Heatwave,1,0,0.0
hazards:Hazard_Power_Grid_Failure_Blackout,1,1,1.0
hazards:Hazard_Rockfall_Dry,1,1,1.0
hazards:Hazard_Rogue_Black_Hole,1,0,0.0
hazards:Hazard_Severe_Winter_Conditions,1,0,0.0
hazards:Hazard_Soil_Contamination,1,1,1.0
hazards:Hazard_St_Elmos_Fire,1,0,0.0
hazards:Hazard_Structural_Collapse,1,1,1.0
hazards:Hazard_Sudden_Subsidence_Wet,1,1,1.0
hazards:Hazard_Surface_Rupture_Fissuring,1,0,0.0
hazards:Hazard_Tanganyika_Laughter_Epidemic,1,0,0.0
hazards:Hazard_War,1,0,0.0
hazards:Hazard_Wildfire_General,1,0,0.0
hazards:Hazard_Wind_Gust,1,0,0.0
